Training Version,Error distribution,Cost of Operation,Control RMSE,Number of Violations
Original,"N(0, (0.01)^2)",12352.3 ± 8.3,30.04 ± 0.06,1162 ± 19
Original,"N(0, (0.03)^2)",12352.0 ± 22.3,30.93 ± 0.23,1210 ± 32
Original,"N(0, (0.05)^2)",12355.7 ± 36.9,32.71 ± 0.40,1251 ± 35
Original,"N(0, (0.07)^2)",12362.4 ± 52.0,35.18 ± 0.54,1299 ± 35
Original,"N(0, (0.09)^2)",12373.9 ± 66.5,38.24 ± 0.74,1328 ± 29
Original,"N(0, (0.11)^2)",12389.2 ± 80.2,41.86 ± 0.88,1361 ± 28
Original,"N(0, (0.13)^2)",12408.3 ± 95.6,45.81 ± 1.04,1391 ± 27
Original,"N(0, (0.15)^2)",12427.4 ± 112.8,50.12 ± 1.09,1414 ± 32
