Training Version,Error distribution,Cost of Operation,Control RMSE,Number of Violations
"Trained with N(0, (0.15)^2)","N(0, (0.01*load mean)^2)",12318.6 ± 7.4,29.95 ± 0.10,1109 ± 22
"Trained with N(0, (0.15)^2)","N(0, (0.03*load mean)^2)",12319.6 ± 21.8,30.82 ± 0.44,1160 ± 35
"Trained with N(0, (0.15)^2)","N(0, (0.05*load mean)^2)",12324.3 ± 36.5,32.46 ± 0.67,1213 ± 34
"Trained with N(0, (0.15)^2)","N(0, (0.07*load mean)^2)",12333.4 ± 51.0,34.80 ± 0.83,1252 ± 27
"Trained with N(0, (0.15)^2)","N(0, (0.09*load mean)^2)",12346.3 ± 65.1,37.59 ± 1.18,1280 ± 27
"Trained with N(0, (0.15)^2)","N(0, (0.11*load mean)^2)",12362.6 ± 78.7,40.87 ± 1.29,1319 ± 29
"Trained with N(0, (0.15)^2)","N(0, (0.13*load mean)^2)",12383.7 ± 92.2,44.45 ± 1.69,1353 ± 30
"Trained with N(0, (0.15)^2)","N(0, (0.15*load mean)^2)",12409.8 ± 105.8,48.25 ± 1.93,1375 ± 30
