CV_RMSE,Seed,Cost of Operation,Control RMSE,Number of Violations
0.01,303,tensor(12316.0957),tensor(29.9272),1089
0.01,297,tensor(12318.3809),tensor(29.8185),1090
0.01,373,tensor(12310.5156),tensor(30.0899),1136
0.01,1193,tensor(12330.7617),tensor(29.9380),1104
0.01,1787,tensor(12317.1992),tensor(29.9893),1128
0.03,303,tensor(12312.3115),tensor(30.6567),1144
0.03,297,tensor(12319.1084),tensor(30.3383),1116
0.03,373,tensor(12296.0938),tensor(31.5252),1207
0.03,1193,tensor(12355.3975),tensor(30.7710),1153
0.03,1787,tensor(12315.0605),tensor(30.8264),1179
0.05,303,tensor(12311.0186),tensor(32.2635),1215
0.05,297,tensor(12323.8936),tensor(31.5332),1172
0.05,373,tensor(12285.6826),tensor(33.3599),1249
0.05,1193,tensor(12384.3506),tensor(32.4198),1185
0.05,1787,tensor(12316.3213),tensor(32.7113),1244
0.07,303,tensor(12315.4287),tensor(34.4883),1264
0.07,297,tensor(12333.3818),tensor(33.6257),1226
0.07,373,tensor(12280.5137),tensor(35.8998),1280
0.07,1193,tensor(12417.7090),tensor(35.0274),1221
0.07,1787,tensor(12320.0391),tensor(34.9823),1271
0.09,303,tensor(12322.4883),tensor(37.2650),1296
0.09,297,tensor(12347.4814),tensor(35.8656),1246
0.09,373,tensor(12280.6250),tensor(39.1251),1303
0.09,1193,tensor(12454.3672),tensor(37.9389),1255
0.09,1787,tensor(12326.7666),tensor(37.7548),1300
0.11,303,tensor(12332.2939),tensor(40.5179),1343
0.11,297,tensor(12364.2646),tensor(39.1026),1290
0.11,373,tensor(12285.6904),tensor(42.6430),1341
0.11,1193,tensor(12493.9561),tensor(41.3491),1284
0.11,1787,tensor(12336.6279),tensor(40.7262),1337
0.13,303,tensor(12346.3477),tensor(44.0435),1386
0.13,297,tensor(12388.4014),tensor(42.1290),1321
0.13,373,tensor(12296.1162),tensor(46.7133),1370
0.13,1193,tensor(12537.9287),tensor(45.2206),1321
0.13,1787,tensor(12349.5781),tensor(44.1514),1365
0.15,303,tensor(12364.2832),tensor(47.8695),1405
0.15,297,tensor(12417.4346),tensor(45.5140),1339
0.15,373,tensor(12314.0625),tensor(50.7688),1402
0.15,1193,tensor(12587.3438),tensor(49.1637),1351
0.15,1787,tensor(12366.0420),tensor(47.9093),1377
