Training Version,Error distribution,Cost of Operation,Control RMSE,Number of Violations
"Trained with N(0, (0.11*load mean)^2)","N(0, (0.01*load mean)^2)",12258.7 ± 7.4,29.71 ± 0.09,1131 ± 18
"Trained with N(0, (0.11*load mean)^2)","N(0, (0.03*load mean)^2)",12260.3 ± 21.5,30.67 ± 0.27,1178 ± 38
"Trained with N(0, (0.11*load mean)^2)","N(0, (0.05*load mean)^2)",12265.2 ± 36.1,32.49 ± 0.44,1229 ± 36
"Trained with N(0, (0.11*load mean)^2)","N(0, (0.07*load mean)^2)",12274.6 ± 50.2,34.99 ± 0.46,1266 ± 31
"Trained with N(0, (0.11*load mean)^2)","N(0, (0.09*load mean)^2)",12288.0 ± 64.9,38.03 ± 0.49,1298 ± 32
"Trained with N(0, (0.11*load mean)^2)","N(0, (0.11*load mean)^2)",12305.6 ± 79.1,41.49 ± 0.51,1331 ± 24
"Trained with N(0, (0.11*load mean)^2)","N(0, (0.13*load mean)^2)",12327.3 ± 93.8,45.30 ± 0.60,1358 ± 27
"Trained with N(0, (0.11*load mean)^2)","N(0, (0.15*load mean)^2)",12354.0 ± 107.7,49.35 ± 0.73,1384 ± 32
