CV_RMSE,Seed,Cost of Operation,Control RMSE,Number of Violations
0.01,303,tensor(12281.3213),tensor(29.0292),1101
0.01,297,tensor(12283.7246),tensor(29.0025),1091
0.01,373,tensor(12275.7529),tensor(29.1047),1133
0.01,1193,tensor(12295.8887),tensor(29.0096),1106
0.01,1787,tensor(12282.4775),tensor(29.1177),1130
0.03,303,tensor(12277.7080),tensor(29.8685),1155
0.03,297,tensor(12285.0703),tensor(29.7115),1117
0.03,373,tensor(12261.5732),tensor(30.1420),1213
0.03,1193,tensor(12321.3027),tensor(29.8493),1151
0.03,1787,tensor(12280.6416),tensor(30.1080),1191
0.05,303,tensor(12277.6641),tensor(31.5370),1224
0.05,297,tensor(12290.3633),tensor(31.1587),1188
0.05,373,tensor(12251.8379),tensor(32.0473),1253
0.05,1193,tensor(12350.2773),tensor(31.5618),1193
0.05,1787,tensor(12281.7041),tensor(31.8817),1243
0.07,303,tensor(12281.1406),tensor(33.9117),1267
0.07,297,tensor(12299.7910),tensor(33.2472),1229
0.07,373,tensor(12246.6865),tensor(34.6775),1291
0.07,1193,tensor(12382.2354),tensor(33.9988),1243
0.07,1787,tensor(12285.6562),tensor(34.3174),1275
0.09,303,tensor(12287.8936),tensor(36.8712),1310
0.09,297,tensor(12313.6172),tensor(35.8643),1254
0.09,373,tensor(12246.3604),tensor(37.8803),1324
0.09,1193,tensor(12418.6709),tensor(37.0432),1262
0.09,1787,tensor(12292.5098),tensor(37.2858),1310
0.11,303,tensor(12298.4756),tensor(40.2619),1348
0.11,297,tensor(12332.1807),tensor(38.9036),1294
0.11,373,tensor(12251.2314),tensor(41.5229),1358
0.11,1193,tensor(12459.0986),tensor(40.5485),1289
0.11,1787,tensor(12302.2949),tensor(40.6702),1332
0.13,303,tensor(12312.6006),tensor(43.9935),1384
0.13,297,tensor(12355.8965),tensor(42.1097),1332
0.13,373,tensor(12261.2891),tensor(45.4790),1387
0.13,1193,tensor(12503.7344),tensor(44.4050),1321
0.13,1787,tensor(12314.6113),tensor(44.3694),1363
0.15,303,tensor(12330.3213),tensor(47.9863),1405
0.15,297,tensor(12385.1904),tensor(45.7249),1352
0.15,373,tensor(12278.5830),tensor(49.7079),1415
0.15,1193,tensor(12552.8408),tensor(48.5277),1339
0.15,1787,tensor(12330.4678),tensor(48.3196),1384
