CV_RMSE,Seed,Cost of Operation,Control RMSE,Number of Violations
0.01,303,tensor(12256.3633),tensor(29.6742),1117
0.01,297,tensor(12258.8916),tensor(29.7771),1110
0.01,373,tensor(12250.3145),tensor(29.6515),1152
0.01,1193,tensor(12270.6582),tensor(29.6037),1130
0.01,1787,tensor(12257.4482),tensor(29.8304),1144
0.03,303,tensor(12253.1328),tensor(30.5574),1163
0.03,297,tensor(12260.8154),tensor(30.9319),1133
0.03,373,tensor(12236.1787),tensor(30.4822),1230
0.03,1193,tensor(12295.0537),tensor(30.3948),1163
0.03,1787,tensor(12256.3193),tensor(31.0006),1200
0.05,303,tensor(12252.3896),tensor(32.2594),1233
0.05,297,tensor(12266.2227),tensor(32.7583),1190
0.05,373,tensor(12226.3047),tensor(32.2269),1265
0.05,1193,tensor(12323.9688),tensor(32.0814),1195
0.05,1787,tensor(12257.0205),tensor(33.1192),1263
0.07,303,tensor(12257.0039),tensor(34.6641),1263
0.07,297,tensor(12276.4053),tensor(35.1309),1242
0.07,373,tensor(12220.7012),tensor(34.7750),1304
0.07,1193,tensor(12356.5547),tensor(34.6378),1231
0.07,1787,tensor(12262.2305),tensor(35.7421),1291
0.09,303,tensor(12264.5957),tensor(37.7126),1303
0.09,297,tensor(12292.7686),tensor(37.9856),1266
0.09,373,tensor(12219.8389),tensor(37.9233),1336
0.09,1193,tensor(12394.1660),tensor(37.6506),1264
0.09,1787,tensor(12268.5986),tensor(38.8770),1319
0.11,303,tensor(12275.6953),tensor(41.1402),1342
0.11,297,tensor(12312.9980),tensor(41.0933),1316
0.11,373,tensor(12224.9043),tensor(41.6050),1362
0.11,1193,tensor(12435.4629),tensor(41.3002),1299
0.11,1787,tensor(12278.9043),tensor(42.3291),1338
0.13,303,tensor(12289.8047),tensor(45.0092),1376
0.13,297,tensor(12339.4082),tensor(44.5214),1347
0.13,373,tensor(12234.7256),tensor(45.5756),1389
0.13,1193,tensor(12481.4980),tensor(45.2809),1319
0.13,1787,tensor(12290.9053),tensor(46.1072),1357
0.15,303,tensor(12308.2305),tensor(49.0402),1399
0.15,297,tensor(12371.),tensor(48.2794),1369
0.15,373,tensor(12251.9014),tensor(49.7749),1416
0.15,1193,tensor(12531.2881),tensor(49.4691),1335
0.15,1787,tensor(12307.4287),tensor(50.1684),1399
