Training Version,Error distribution,Cost of Operation,Control RMSE,Number of Violations
"Trained with N(0, (0.05*load mean)^2)","N(0, (0.01*load mean)^2)",12249.6 ± 7.1,30.21 ± 0.11,1139 ± 19
"Trained with N(0, (0.05*load mean)^2)","N(0, (0.03*load mean)^2)",12250.6 ± 22.4,31.16 ± 0.28,1185 ± 39
"Trained with N(0, (0.05*load mean)^2)","N(0, (0.05*load mean)^2)",12255.9 ± 36.7,32.92 ± 0.38,1229 ± 37
"Trained with N(0, (0.05*load mean)^2)","N(0, (0.07*load mean)^2)",12264.6 ± 50.3,35.45 ± 0.41,1277 ± 36
"Trained with N(0, (0.05*load mean)^2)","N(0, (0.09*load mean)^2)",12277.2 ± 64.7,38.48 ± 0.41,1309 ± 29
"Trained with N(0, (0.05*load mean)^2)","N(0, (0.11*load mean)^2)",12294.5 ± 79.2,41.92 ± 0.52,1341 ± 27
"Trained with N(0, (0.05*load mean)^2)","N(0, (0.13*load mean)^2)",12316.0 ± 93.8,45.78 ± 0.61,1372 ± 34
"Trained with N(0, (0.05*load mean)^2)","N(0, (0.15*load mean)^2)",12342.6 ± 107.8,49.88 ± 0.71,1399 ± 32
